" "	"Ukrainian"	"Russian"
"KHERSON (miskrada)"	4682	85103
"NOVA KAKHOVKA (miskrada)"	1118	13579
"m. KAKHOVKA"	790	4352
"BILOZERSKYI RAION"	1321	2744
"BERYSLAVSKYI RAION"	1626	1169
"VELYKOLEPETYSKYI RAION"	658	548
"VELYKOOLEKSANDRIVSKYI RAION"	807	282
"VERKHNOROHACHYTSKYI RAION"	333	182
"VYSOKOPILSKYI RAION"	542	235
"HENICHESKYI RAION"	842	14933
"HOLOPRYSTANSKYI RAION"	1300	2574
"HORNOSTAIVSKYI RAION"	417	240
"IVANIVSKYI RAION"	405	369
"KALANCHATSKYI RAION"	725	694
"KAKHOVSKYI RAION"	1063	1787
"NYZHNOSIROHOZKYI RAION"	542	1125
"NOVOVORONTSOVSKYI RAION"	417	181
"NOVOTROITSKYI RAION"	1101	1191
"SKADOVSKYI RAION"	1118	3219
"TSIURUPYNSKYI RAION"	1243	4456
"CHAPLYNSKYI RAION"	808	1254
